************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    40
engine_to_start      50
steps                902
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0    	R1    	R2    	R3    	R4    	R5    	R6    	R7    	R8    	R9    	R10   	R11   	R12   	R13   	R14   	R15   	R16   	R17   	R18   	R19   	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
engine info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_no           	engine_type         	isDaxiu             	hasStarted          	due_date            	
0                   	0                   	1                   	1                   	30                  	
1                   	7                   	1                   	1                   	30                  	
2                   	9                   	1                   	1                   	30                  	
3                   	6                   	0                   	1                   	30                  	
4                   	7                   	1                   	1                   	30                  	
5                   	5                   	1                   	1                   	30                  	
6                   	2                   	1                   	1                   	30                  	
7                   	3                   	0                   	1                   	30                  	
8                   	5                   	0                   	1                   	30                  	
9                   	8                   	0                   	1                   	30                  	
10                  	6                   	1                   	1                   	30                  	
11                  	3                   	1                   	1                   	30                  	
12                  	4                   	1                   	1                   	30                  	
13                  	7                   	0                   	1                   	30                  	
14                  	1                   	0                   	1                   	30                  	
15                  	9                   	1                   	1                   	30                  	
16                  	9                   	1                   	1                   	30                  	
17                  	0                   	1                   	1                   	30                  	
18                  	6                   	0                   	1                   	30                  	
19                  	6                   	0                   	1                   	30                  	
20                  	6                   	0                   	1                   	30                  	
21                  	9                   	0                   	1                   	30                  	
22                  	9                   	1                   	1                   	30                  	
23                  	7                   	1                   	1                   	30                  	
24                  	1                   	0                   	1                   	30                  	
25                  	9                   	0                   	1                   	30                  	
26                  	7                   	1                   	1                   	30                  	
27                  	9                   	1                   	1                   	30                  	
28                  	0                   	1                   	1                   	30                  	
29                  	0                   	1                   	1                   	30                  	
30                  	8                   	0                   	1                   	30                  	
31                  	9                   	1                   	1                   	30                  	
32                  	4                   	0                   	1                   	30                  	
33                  	7                   	1                   	1                   	30                  	
34                  	0                   	0                   	1                   	30                  	
35                  	9                   	1                   	1                   	30                  	
36                  	9                   	0                   	1                   	30                  	
37                  	9                   	1                   	1                   	30                  	
38                  	2                   	0                   	1                   	30                  	
39                  	1                   	1                   	1                   	30                  	
40                  	0                   	1                   	0                   	60                  	
41                  	9                   	1                   	0                   	30                  	
42                  	1                   	0                   	0                   	60                  	
43                  	8                   	1                   	0                   	60                  	
44                  	6                   	0                   	0                   	60                  	
45                  	8                   	1                   	0                   	60                  	
46                  	5                   	1                   	0                   	30                  	
47                  	8                   	1                   	0                   	30                  	
48                  	8                   	0                   	0                   	60                  	
49                  	3                   	0                   	0                   	60                  	
50                  	5                   	1                   	0                   	30                  	
51                  	7                   	1                   	0                   	30                  	
52                  	9                   	1                   	0                   	60                  	
53                  	9                   	1                   	0                   	60                  	
54                  	6                   	1                   	0                   	60                  	
55                  	3                   	1                   	0                   	60                  	
56                  	6                   	0                   	0                   	60                  	
57                  	6                   	0                   	0                   	60                  	
58                  	6                   	0                   	0                   	60                  	
59                  	1                   	1                   	0                   	60                  	
60                  	4                   	1                   	0                   	60                  	
61                  	2                   	0                   	0                   	60                  	
62                  	5                   	0                   	0                   	60                  	
63                  	0                   	1                   	0                   	60                  	
64                  	4                   	0                   	0                   	60                  	
65                  	8                   	0                   	0                   	60                  	
66                  	4                   	1                   	0                   	60                  	
67                  	5                   	1                   	0                   	60                  	
68                  	8                   	1                   	0                   	60                  	
69                  	7                   	1                   	0                   	60                  	
70                  	8                   	0                   	0                   	30                  	
71                  	1                   	0                   	0                   	60                  	
72                  	0                   	0                   	0                   	60                  	
73                  	8                   	0                   	0                   	60                  	
74                  	6                   	0                   	0                   	60                  	
75                  	7                   	0                   	0                   	30                  	
76                  	6                   	0                   	0                   	30                  	
77                  	8                   	0                   	0                   	30                  	
78                  	7                   	0                   	0                   	60                  	
79                  	1                   	0                   	0                   	60                  	
80                  	3                   	0                   	0                   	60                  	
81                  	0                   	1                   	0                   	30                  	
82                  	5                   	0                   	0                   	60                  	
83                  	3                   	1                   	0                   	60                  	
84                  	7                   	1                   	0                   	60                  	
85                  	2                   	1                   	0                   	30                  	
86                  	6                   	1                   	0                   	60                  	
87                  	0                   	1                   	0                   	30                  	
88                  	5                   	1                   	0                   	60                  	
89                  	7                   	0                   	0                   	30                  	
************************************************************************************************************************************************************************************************************************************************************************************************************
step info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
step_no             	step_name           	engine_no           	status              	stand_by_time       	due_time            	punish_weight       	schedule_start_time 	modes               	successors          	successor_list      	
0                   	dummy_start         	null                	0                   	0                   	10000               	0                   	null                	1                   	90                  	1 11 21 31 41 51 61 71 81 91 101 111 121 131 141 151 161 171 181 191 201 211 221 231 241 251 261 271 281 291 301 311 321 331 341 351 361 371 381 391 401 411 421 431 441 451 461 471 481 491 501 511 521 531 541 551 561 571 581 591 601 611 621 631 641 651 661 671 681 691 701 711 721 731 741 751 761 771 781 791 801 811 821 831 841 851 861 871 881 891 	
************************************************************************************************************************************************************************************************************************************************************************************************************
