************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    40
engine_to_start      50
steps                902
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0    	R1    	R2    	R3    	R4    	R5    	R6    	R7    	R8    	R9    	R10   	R11   	R12   	R13   	R14   	R15   	R16   	R17   	R18   	R19   	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
engine info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_no           	engine_type         	isDaxiu             	hasStarted          	due_date            	
0                   	5                   	1                   	1                   	30                  	
1                   	5                   	1                   	1                   	30                  	
2                   	4                   	0                   	1                   	30                  	
3                   	4                   	0                   	1                   	30                  	
4                   	6                   	1                   	1                   	30                  	
5                   	1                   	1                   	1                   	30                  	
6                   	7                   	1                   	1                   	30                  	
7                   	2                   	0                   	1                   	30                  	
8                   	8                   	0                   	1                   	30                  	
9                   	8                   	1                   	1                   	30                  	
10                  	0                   	0                   	1                   	30                  	
11                  	5                   	1                   	1                   	30                  	
12                  	1                   	1                   	1                   	30                  	
13                  	6                   	0                   	1                   	30                  	
14                  	5                   	1                   	1                   	30                  	
15                  	8                   	1                   	1                   	30                  	
16                  	6                   	0                   	1                   	30                  	
17                  	5                   	0                   	1                   	30                  	
18                  	0                   	1                   	1                   	30                  	
19                  	0                   	0                   	1                   	30                  	
20                  	4                   	0                   	1                   	30                  	
21                  	0                   	0                   	1                   	30                  	
22                  	2                   	1                   	1                   	30                  	
23                  	3                   	1                   	1                   	30                  	
24                  	9                   	0                   	1                   	30                  	
25                  	4                   	1                   	1                   	30                  	
26                  	9                   	1                   	1                   	30                  	
27                  	2                   	1                   	1                   	30                  	
28                  	7                   	0                   	1                   	30                  	
29                  	0                   	1                   	1                   	30                  	
30                  	5                   	0                   	1                   	30                  	
31                  	6                   	1                   	1                   	30                  	
32                  	0                   	0                   	1                   	30                  	
33                  	2                   	0                   	1                   	30                  	
34                  	7                   	1                   	1                   	30                  	
35                  	1                   	0                   	1                   	30                  	
36                  	5                   	0                   	1                   	30                  	
37                  	2                   	0                   	1                   	30                  	
38                  	6                   	1                   	1                   	30                  	
39                  	1                   	0                   	1                   	30                  	
40                  	3                   	1                   	0                   	60                  	
41                  	0                   	1                   	0                   	60                  	
42                  	2                   	0                   	0                   	60                  	
43                  	1                   	0                   	0                   	60                  	
44                  	5                   	1                   	0                   	60                  	
45                  	3                   	1                   	0                   	60                  	
46                  	8                   	1                   	0                   	60                  	
47                  	5                   	1                   	0                   	30                  	
48                  	9                   	0                   	0                   	60                  	
49                  	8                   	1                   	0                   	60                  	
50                  	0                   	0                   	0                   	60                  	
51                  	6                   	0                   	0                   	30                  	
52                  	4                   	0                   	0                   	30                  	
53                  	8                   	1                   	0                   	60                  	
54                  	5                   	0                   	0                   	60                  	
55                  	5                   	1                   	0                   	60                  	
56                  	8                   	1                   	0                   	60                  	
57                  	0                   	0                   	0                   	60                  	
58                  	9                   	0                   	0                   	30                  	
59                  	6                   	0                   	0                   	60                  	
60                  	9                   	1                   	0                   	30                  	
61                  	9                   	1                   	0                   	60                  	
62                  	9                   	1                   	0                   	60                  	
63                  	4                   	0                   	0                   	60                  	
64                  	0                   	1                   	0                   	60                  	
65                  	5                   	1                   	0                   	60                  	
66                  	1                   	1                   	0                   	60                  	
67                  	5                   	0                   	0                   	60                  	
68                  	0                   	0                   	0                   	60                  	
69                  	6                   	0                   	0                   	60                  	
70                  	1                   	0                   	0                   	60                  	
71                  	9                   	1                   	0                   	60                  	
72                  	8                   	1                   	0                   	30                  	
73                  	6                   	0                   	0                   	30                  	
74                  	3                   	0                   	0                   	60                  	
75                  	2                   	0                   	0                   	60                  	
76                  	2                   	1                   	0                   	60                  	
77                  	7                   	0                   	0                   	60                  	
78                  	2                   	0                   	0                   	60                  	
79                  	7                   	0                   	0                   	30                  	
80                  	7                   	0                   	0                   	60                  	
81                  	8                   	0                   	0                   	60                  	
82                  	9                   	1                   	0                   	60                  	
83                  	1                   	0                   	0                   	30                  	
84                  	6                   	1                   	0                   	60                  	
85                  	6                   	1                   	0                   	30                  	
86                  	5                   	0                   	0                   	30                  	
87                  	7                   	0                   	0                   	30                  	
88                  	8                   	0                   	0                   	60                  	
89                  	9                   	0                   	0                   	60                  	
************************************************************************************************************************************************************************************************************************************************************************************************************
step info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
step_no             	step_name           	engine_no           	status              	stand_by_time       	due_time            	punish_weight       	schedule_start_time 	modes               	successors          	successor_list      	
0                   	dummy_start         	null                	0                   	0                   	10000               	0                   	null                	1                   	90                  	1 11 21 31 41 51 61 71 81 91 101 111 121 131 141 151 161 171 181 191 201 211 221 231 241 251 261 271 281 291 301 311 321 331 341 351 361 371 381 391 401 411 421 431 441 451 461 471 481 491 501 511 521 531 541 551 561 571 581 591 601 611 621 631 641 651 661 671 681 691 701 711 721 731 741 751 761 771 781 791 801 811 821 831 841 851 861 871 881 891 	
************************************************************************************************************************************************************************************************************************************************************************************************************
