************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    40
engine_to_start      50
steps                902
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0    	R1    	R2    	R3    	R4    	R5    	R6    	R7    	R8    	R9    	R10   	R11   	R12   	R13   	R14   	R15   	R16   	R17   	R18   	R19   	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
engine info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_no           	engine_type         	isDaxiu             	hasStarted          	due_date            	
0                   	8                   	0                   	1                   	30                  	
1                   	3                   	1                   	1                   	30                  	
2                   	8                   	0                   	1                   	30                  	
3                   	5                   	1                   	1                   	30                  	
4                   	7                   	0                   	1                   	30                  	
5                   	1                   	1                   	1                   	30                  	
6                   	5                   	0                   	1                   	30                  	
7                   	1                   	0                   	1                   	30                  	
8                   	5                   	1                   	1                   	30                  	
9                   	5                   	1                   	1                   	30                  	
10                  	0                   	1                   	1                   	30                  	
11                  	4                   	1                   	1                   	30                  	
12                  	1                   	0                   	1                   	30                  	
13                  	6                   	1                   	1                   	30                  	
14                  	8                   	1                   	1                   	30                  	
15                  	8                   	1                   	1                   	30                  	
16                  	5                   	1                   	1                   	30                  	
17                  	0                   	0                   	1                   	30                  	
18                  	1                   	1                   	1                   	30                  	
19                  	9                   	1                   	1                   	30                  	
20                  	0                   	0                   	1                   	30                  	
21                  	9                   	1                   	1                   	30                  	
22                  	6                   	1                   	1                   	30                  	
23                  	7                   	0                   	1                   	30                  	
24                  	3                   	0                   	1                   	30                  	
25                  	5                   	1                   	1                   	30                  	
26                  	5                   	1                   	1                   	30                  	
27                  	5                   	1                   	1                   	30                  	
28                  	7                   	1                   	1                   	30                  	
29                  	8                   	1                   	1                   	30                  	
30                  	0                   	1                   	1                   	30                  	
31                  	8                   	1                   	1                   	30                  	
32                  	9                   	1                   	1                   	30                  	
33                  	0                   	1                   	1                   	30                  	
34                  	2                   	1                   	1                   	30                  	
35                  	8                   	1                   	1                   	30                  	
36                  	4                   	1                   	1                   	30                  	
37                  	0                   	0                   	1                   	30                  	
38                  	3                   	1                   	1                   	30                  	
39                  	7                   	1                   	1                   	30                  	
40                  	2                   	1                   	0                   	60                  	
41                  	4                   	1                   	0                   	30                  	
42                  	4                   	1                   	0                   	60                  	
43                  	9                   	0                   	0                   	60                  	
44                  	1                   	0                   	0                   	60                  	
45                  	7                   	0                   	0                   	30                  	
46                  	0                   	0                   	0                   	30                  	
47                  	4                   	1                   	0                   	60                  	
48                  	4                   	0                   	0                   	60                  	
49                  	2                   	1                   	0                   	60                  	
50                  	0                   	0                   	0                   	60                  	
51                  	2                   	1                   	0                   	30                  	
52                  	6                   	1                   	0                   	60                  	
53                  	2                   	0                   	0                   	60                  	
54                  	6                   	1                   	0                   	30                  	
55                  	5                   	0                   	0                   	60                  	
56                  	7                   	1                   	0                   	30                  	
57                  	4                   	0                   	0                   	60                  	
58                  	5                   	0                   	0                   	60                  	
59                  	2                   	1                   	0                   	30                  	
60                  	5                   	1                   	0                   	60                  	
61                  	7                   	0                   	0                   	60                  	
62                  	4                   	1                   	0                   	60                  	
63                  	7                   	0                   	0                   	60                  	
64                  	2                   	1                   	0                   	30                  	
65                  	8                   	0                   	0                   	60                  	
66                  	9                   	0                   	0                   	60                  	
67                  	8                   	1                   	0                   	60                  	
68                  	5                   	0                   	0                   	60                  	
69                  	1                   	1                   	0                   	60                  	
70                  	4                   	0                   	0                   	60                  	
71                  	5                   	0                   	0                   	60                  	
72                  	1                   	0                   	0                   	60                  	
73                  	6                   	0                   	0                   	30                  	
74                  	2                   	1                   	0                   	60                  	
75                  	2                   	1                   	0                   	60                  	
76                  	4                   	0                   	0                   	60                  	
77                  	2                   	0                   	0                   	30                  	
78                  	1                   	0                   	0                   	60                  	
79                  	4                   	1                   	0                   	60                  	
80                  	8                   	0                   	0                   	60                  	
81                  	3                   	1                   	0                   	60                  	
82                  	0                   	1                   	0                   	60                  	
83                  	4                   	0                   	0                   	60                  	
84                  	1                   	0                   	0                   	60                  	
85                  	3                   	1                   	0                   	60                  	
86                  	1                   	0                   	0                   	30                  	
87                  	8                   	1                   	0                   	60                  	
88                  	8                   	1                   	0                   	60                  	
89                  	8                   	1                   	0                   	60                  	
************************************************************************************************************************************************************************************************************************************************************************************************************
step info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
step_no             	step_name           	engine_no           	status              	stand_by_time       	due_time            	punish_weight       	schedule_start_time 	modes               	successors          	successor_list      	
0                   	dummy_start         	null                	0                   	0                   	10000               	0                   	null                	1                   	90                  	1 11 21 31 41 51 61 71 81 91 101 111 121 131 141 151 161 171 181 191 201 211 221 231 241 251 261 271 281 291 301 311 321 331 341 351 361 371 381 391 401 411 421 431 441 451 461 471 481 491 501 511 521 531 541 551 561 571 581 591 601 611 621 631 641 651 661 671 681 691 701 711 721 731 741 751 761 771 781 791 801 811 821 831 841 851 861 871 881 891 	
************************************************************************************************************************************************************************************************************************************************************************************************************
